Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,SurveyYear_raw,Value_raw,SurveyYear,ok_country,ok_gender,ok_demo_q,ok_demo_r,ok_question,ok_year,ok_value,is_valid_row
Afghanistan,F,Education,Higher,... if she burns the food,01/01/2015,10.1,01/01/2015,10.1,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Education,Secondary,... if she burns the food,01/01/2015,13.7,01/01/2015,13.7,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Education,Primary,... if she burns the food,01/01/2015,13.8,01/01/2015,13.8,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2015,13.8,01/01/2015,13.8,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Employment,Employed for kind,... if she burns the food,01/01/2015,17.0,01/01/2015,17.0,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Age,15-24,... if she burns the food,01/01/2015,17.3,01/01/2015,17.3,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Employment,Unemployed,... if she burns the food,01/01/2015,18.0,01/01/2015,18.0,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Residence,Rural,... if she burns the food,01/01/2015,18.1,01/01/2015,18.1,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Age,25-34,... if she burns the food,01/01/2015,18.2,01/01/2015,18.2,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Marital status,Married or living together,... if she burns the food,01/01/2015,18.3,01/01/2015,18.3,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Residence,Urban,... if she burns the food,01/01/2015,18.3,01/01/2015,18.3,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Age,35-49,... if she burns the food,01/01/2015,18.8,01/01/2015,18.8,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Education,No education,... if she burns the food,01/01/2015,19.1,01/01/2015,19.1,2015,True,True,True,True,True,True,True,True
Afghanistan,F,Employment,Employed for cash,... if she burns the food,01/01/2015,20.8,01/01/2015,20.8,2015,True,True,True,True,True,True,True,True
Afghanistan,M,Education,Higher,... if she burns the food,01/01/2015,4.5,01/01/2015,4.5,2015,True,True,True,True,True,True,True,True
Afghanistan,M,Residence,Urban,... if she burns the food,01/01/2015,4.6,01/01/2015,4.6,2015,True,True,True,True,True,True,True,True
Afghanistan,M,Employment,Unemployed,... if she burns the food,01/01/2015,5.2,01/01/2015,5.2,2015,True,True,True,True,True,True,True,True
Afghanistan,M,Education,Primary,... if she burns the food,01/01/2015,6.3,01/01/2015,6.3,2015,True,True,True,True,True,True,True,True
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2015,6.3,01/01/2015,6.3,2015,True,True,True,True,True,True,True,True
