feature,importance
cat__Demographics Response_Higher,0.18944374825437327
cat__Question_... if she burns the food,0.17920421483638752
cat__Question_... for at least one specific reason,0.17462441423940694
cat__Gender_F,0.13014559505834478
cat__Gender_M,0.10006198613818937
cat__Question_... if she refuses to have sex with him,0.07325337346892473
cat__Question_... if she neglects the children,0.03722170739587435
cat__Demographics Response_Secondary,0.025638448514413943
cat__Demographics Response_Employed for kind,0.013846787669783887
cat__Demographics Question_Education,0.008261824162248098
cat__Demographics Response_No education,0.008091765621929077
cat__Demographics Response_Urban,0.007407125877275619
cat__Demographics Response_Never married,0.007323448862705876
"cat__Demographics Response_Widowed, divorced, separated",0.0058626853735205976
cat__Question_... if she goes out without telling him,0.004833067455457509
cat__Question_... if she argues with him,0.004448303031879253
cat__Demographics Response_15-24,0.0044257314040593776
cat__Demographics Question_Employment,0.0037552857715727876
cat__Demographics Question_Age,0.0036345757425284494
cat__Demographics Response_Unemployed,0.0025044110079364026
cat__Demographics Response_Rural,0.002459282988352144
cat__Demographics Response_Married or living together,0.002369124434283938
cat__Demographics Question_Marital status,0.002107602405923456
cat__Demographics Response_Primary,0.0019453079470804972
cat__Demographics Response_25-34,0.001929589740894103
cat__Demographics Question_Residence,0.0018718369698666152
cat__Demographics Response_Employed for cash,0.001824488482173618
cat__Demographics Response_35-49,0.0015042671446137427
num__SurveyYear,0.0
