feature,importance
cat__Question_... for at least one specific reason,0.361516591642183
cat__Question_... if she neglects the children,0.2203870164108271
cat__Question_... if she goes out without telling him,0.1618738447082051
cat__Gender_M,0.10836151259018881
cat__Question_... if she argues with him,0.09463791444148562
cat__Demographics Question_Employment,0.018077342019472288
cat__Demographics Question_Marital status,0.012528838575058604
cat__Gender_F,0.012437961098786398
cat__Demographics Question_Age,0.004071489003900386
cat__Demographics Question_Residence,0.002193996293940196
cat__Demographics Question_Education,0.0015218474793006903
cat__Demographics Response_Unemployed,0.0006517640067125183
cat__Question_... if she refuses to have sex with him,0.000511978129034098
"cat__Demographics Response_Widowed, divorced, separated",0.00026515233824653495
cat__Demographics Response_Secondary,0.0002227146925199349
cat__Demographics Response_Rural,0.00022212227364345693
cat__Demographics Response_Higher,0.0002025609142186732
cat__Demographics Response_Married or living together,0.00016971941572932272
cat__Demographics Response_Urban,9.375676600978046e-05
cat__Demographics Response_Never married,5.1877200537499636e-05
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Question_... if she burns the food,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
num__SurveyYear,0.0
