feature,importance
cat__Question_... for at least one specific reason,0.5320222140710886
cat__Question_... if she neglects the children,0.19507690550651294
cat__Question_... if she argues with him,0.1715777287480219
cat__Question_... if she goes out without telling him,0.03033971964846895
cat__Gender_M,0.02812077159801411
cat__Demographics Question_Education,0.01674305378600386
cat__Demographics Response_Higher,0.011358963501385221
cat__Question_... if she burns the food,0.010786972520348078
cat__Gender_F,0.0033427868147840613
cat__Demographics Question_Employment,0.00048824842705268856
cat__Demographics Question_Residence,9.166851851594514e-05
cat__Demographics Question_Age,5.0966859803727476e-05
cat__Demographics Response_Secondary,0.0
cat__Question_... if she refuses to have sex with him,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Marital status,0.0
num__SurveyYear,0.0
