feature,importance
cat__Demographics Response_Higher,0.3180743
cat__Gender_F,0.07743009
cat__Demographics Response_Urban,0.07263623
cat__Question_... for at least one specific reason,0.06270502
cat__Demographics Response_Employed for kind,0.055370357
cat__Question_... if she burns the food,0.049659956
cat__Demographics Response_Rural,0.044572853
cat__Demographics Response_No education,0.04086794
cat__Demographics Response_Never married,0.037957538
cat__Demographics Response_Secondary,0.03448
"cat__Demographics Response_Widowed, divorced, separated",0.034425095
cat__Demographics Response_Primary,0.01931756
cat__Demographics Response_35-49,0.018369101
cat__Demographics Response_Employed for cash,0.017794905
cat__Demographics Response_15-24,0.017546393
cat__Demographics Response_25-34,0.017145796
cat__Question_... if she refuses to have sex with him,0.013470657
cat__Demographics Response_Married or living together,0.0116926525
cat__Demographics Response_Unemployed,0.011415071
cat__Demographics Question_Marital status,0.0111129675
cat__Demographics Question_Education,0.0089438865
cat__Question_... if she goes out without telling him,0.0070283883
cat__Question_... if she argues with him,0.0047905007
cat__Demographics Question_Residence,0.004171215
cat__Demographics Question_Age,0.0035890648
cat__Demographics Question_Employment,0.0028797952
cat__Question_... if she neglects the children,0.0025526632
cat__Gender_M,0.0
num__SurveyYear,0.0
