feature,importance
cat__Question_... if she refuses to have sex with him,0.2363247
cat__Question_... if she burns the food,0.20405927
cat__Gender_M,0.10596864
cat__Gender_F,0.09389023
cat__Question_... for at least one specific reason,0.079864495
cat__Question_... if she argues with him,0.041749537
cat__Question_... if she neglects the children,0.03741676
cat__Question_... if she goes out without telling him,0.037215624
cat__Demographics Response_Employed for kind,0.018452406
cat__Demographics Question_Employment,0.016614746
cat__Demographics Response_Urban,0.0136287995
cat__Demographics Response_Higher,0.011849067
cat__Demographics Response_Never married,0.011325697
"cat__Demographics Response_Widowed, divorced, separated",0.009709841
cat__Demographics Response_Unemployed,0.009444572
cat__Demographics Response_No education,0.00897757
cat__Demographics Response_Employed for cash,0.008921755
cat__Demographics Response_Rural,0.008060986
cat__Demographics Question_Residence,0.0068994863
cat__Demographics Question_Marital status,0.006171752
cat__Demographics Response_25-34,0.0050165057
cat__Demographics Response_Primary,0.0048045907
cat__Demographics Response_Married or living together,0.00473063
cat__Demographics Response_Secondary,0.0044870004
cat__Demographics Question_Education,0.004246379
cat__Demographics Question_Age,0.0042429105
cat__Demographics Response_15-24,0.0037564454
cat__Demographics Response_35-49,0.0021697124
num__SurveyYear,0.0
