feature,importance
cat__Question_... for at least one specific reason,0.26858598
cat__Question_... if she burns the food,0.16122726
cat__Demographics Response_Higher,0.12985434
cat__Question_... if she refuses to have sex with him,0.120730646
cat__Question_... if she goes out without telling him,0.050876748
cat__Demographics Response_Urban,0.038575914
cat__Demographics Response_Secondary,0.02295
"cat__Demographics Response_Widowed, divorced, separated",0.021633103
cat__Demographics Response_25-34,0.020174187
cat__Demographics Response_No education,0.019279856
cat__Demographics Response_Employed for cash,0.016931247
cat__Demographics Response_Primary,0.014883097
cat__Demographics Response_35-49,0.01474628
cat__Demographics Question_Marital status,0.014366735
cat__Demographics Question_Education,0.012834513
cat__Question_... if she argues with him,0.011548559
cat__Gender_F,0.010815819
cat__Demographics Question_Residence,0.0104234805
cat__Demographics Response_Married or living together,0.008137466
cat__Demographics Response_15-24,0.0067466814
cat__Demographics Question_Age,0.004872972
cat__Demographics Response_Never married,0.0038271206
cat__Demographics Question_Employment,0.0035333666
cat__Demographics Response_Employed for kind,0.00345082
cat__Demographics Response_Rural,0.0031374919
cat__Question_... if she neglects the children,0.0030307798
cat__Demographics Response_Unemployed,0.002825564
cat__Gender_M,0.0
num__SurveyYear,0.0
