feature,importance
cat__Gender_F,0.1836755
cat__Question_... if she burns the food,0.18164675
cat__Question_... if she refuses to have sex with him,0.13811769
cat__Demographics Response_Higher,0.1353217
cat__Question_... for at least one specific reason,0.08681539
cat__Demographics Response_Unemployed,0.04098116
cat__Demographics Response_Urban,0.040566348
cat__Demographics Response_Secondary,0.039891306
cat__Demographics Response_Never married,0.025486149
cat__Demographics Response_Employed for kind,0.02010784
cat__Demographics Response_No education,0.016893562
cat__Demographics Response_Rural,0.012242855
cat__Question_... if she argues with him,0.009997735
cat__Demographics Question_Marital status,0.009608797
cat__Demographics Response_25-34,0.007142276
cat__Question_... if she goes out without telling him,0.0069176736
cat__Demographics Question_Age,0.0064812712
cat__Demographics Response_Married or living together,0.005971501
cat__Demographics Question_Education,0.0058289706
"cat__Demographics Response_Widowed, divorced, separated",0.0047223284
cat__Demographics Response_15-24,0.0039422563
cat__Demographics Question_Residence,0.0034407242
cat__Question_... if she neglects the children,0.0031060297
cat__Demographics Question_Employment,0.003010954
cat__Demographics Response_35-49,0.002904864
cat__Demographics Response_Primary,0.0027931891
cat__Demographics Response_Employed for cash,0.0023851695
cat__Gender_M,0.0
num__SurveyYear,0.0
