feature,importance
cat__Question_... for at least one specific reason,0.5173016660153711
cat__Demographics Response_Higher,0.1424987914758182
cat__Gender_F,0.06403258227144096
cat__Question_... if she burns the food,0.04607886790267335
cat__Demographics Response_15-24,0.038440993700050136
cat__Demographics Response_Never married,0.030238337402870262
cat__Demographics Response_Secondary,0.024794048921277543
cat__Demographics Question_Age,0.023358836272295815
cat__Demographics Response_Unemployed,0.022293111640825203
cat__Demographics Question_Marital status,0.019099380605363293
cat__Demographics Response_Urban,0.01812266347538363
cat__Demographics Question_Residence,0.0128848351390539
cat__Question_... if she refuses to have sex with him,0.00877315109666852
cat__Demographics Response_Primary,0.008231123915141695
cat__Demographics Response_Rural,0.007178556438574536
cat__Question_... if she neglects the children,0.0063588668971177225
cat__Demographics Response_Employed for kind,0.005221844382005078
cat__Demographics Question_Education,0.0019803463116075605
cat__Demographics Response_25-34,0.0011894739199611146
cat__Demographics Question_Employment,0.0007644971602620034
cat__Demographics Response_35-49,0.0007378012498204374
cat__Question_... if she goes out without telling him,0.00042022380641786153
cat__Demographics Response_No education,0.0
cat__Gender_M,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for cash,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Question_... if she argues with him,0.0
num__SurveyYear,0.0
