feature,importance
cat__Demographics Response_Higher,0.22948451
cat__Question_... for at least one specific reason,0.13233884
cat__Question_... if she refuses to have sex with him,0.082009695
cat__Demographics Response_Urban,0.0673213
cat__Question_... if she burns the food,0.062349245
cat__Demographics Response_No education,0.054597694
cat__Gender_F,0.052821714
cat__Demographics Response_Secondary,0.04512337
cat__Demographics Response_Employed for kind,0.04236709
cat__Demographics Response_Unemployed,0.04013828
cat__Demographics Response_Rural,0.030308621
cat__Demographics Response_Never married,0.024550736
cat__Demographics Response_35-49,0.013831048
cat__Demographics Response_Primary,0.012753909
cat__Demographics Question_Residence,0.012602313
cat__Demographics Response_Married or living together,0.012538042
cat__Demographics Question_Employment,0.012274672
cat__Demographics Question_Age,0.011643489
cat__Demographics Question_Marital status,0.010016053
cat__Demographics Response_15-24,0.008887866
cat__Demographics Question_Education,0.008065386
cat__Question_... if she goes out without telling him,0.0064243614
cat__Demographics Response_Employed for cash,0.0061921133
"cat__Demographics Response_Widowed, divorced, separated",0.0059138807
cat__Question_... if she neglects the children,0.0051816045
cat__Demographics Response_25-34,0.00516423
cat__Question_... if she argues with him,0.0050999033
cat__Gender_M,0.0
num__SurveyYear,0.0
