feature,importance
cat__Gender_F,0.22541963232908815
cat__Demographics Response_Higher,0.17107802659838006
cat__Gender_M,0.14183358876906343
cat__Question_... for at least one specific reason,0.10188757199214295
cat__Question_... if she burns the food,0.0925150552433969
cat__Demographics Response_No education,0.04193426581493793
cat__Demographics Response_Rural,0.03929151151155789
cat__Demographics Response_Employed for kind,0.03818682450742409
cat__Demographics Response_Urban,0.01784483248400939
cat__Demographics Response_Secondary,0.015598841031903102
cat__Demographics Question_Age,0.012093642143722211
cat__Demographics Response_Married or living together,0.011350394512483993
cat__Demographics Response_15-24,0.01109249700091119
cat__Demographics Response_Never married,0.010783167525198858
cat__Demographics Question_Employment,0.009688737263832993
cat__Question_... if she argues with him,0.008156708390846236
cat__Demographics Question_Residence,0.007431796269889782
cat__Demographics Question_Marital status,0.00737043577215561
cat__Demographics Question_Education,0.006913894452572422
cat__Question_... if she refuses to have sex with him,0.006484219009191453
"cat__Demographics Response_Widowed, divorced, separated",0.004787080873798443
cat__Question_... if she goes out without telling him,0.003994977355074789
cat__Demographics Response_Primary,0.003831472174842019
cat__Question_... if she neglects the children,0.0031930138382281568
cat__Demographics Response_35-49,0.002610844440351639
cat__Demographics Response_Unemployed,0.0018718838475322735
cat__Demographics Response_Employed for cash,0.0016576915087847062
cat__Demographics Response_25-34,0.00109739333867929
num__SurveyYear,0.0
