feature,importance
cat__Question_... for at least one specific reason,0.3088825852511042
cat__Demographics Response_Higher,0.16859601075708006
cat__Question_... if she burns the food,0.1628721205145473
cat__Question_... if she refuses to have sex with him,0.09011823297699487
cat__Gender_M,0.06980008462328775
cat__Gender_F,0.04605025716331951
cat__Demographics Response_Secondary,0.03373660082287552
cat__Demographics Response_Urban,0.019606316579162425
"cat__Demographics Response_Widowed, divorced, separated",0.013913071558018351
cat__Demographics Response_Never married,0.01216525740822233
cat__Demographics Response_Unemployed,0.009375862256803166
cat__Demographics Response_Employed for kind,0.007548578470553929
cat__Demographics Question_Education,0.006384924104934939
cat__Demographics Question_Employment,0.005843313347596817
cat__Demographics Response_Primary,0.005576964860510364
cat__Demographics Question_Marital status,0.0046312656087073144
cat__Demographics Response_No education,0.004267471763430811
cat__Question_... if she neglects the children,0.004003391948893058
cat__Demographics Response_Employed for cash,0.0031504506765995806
cat__Demographics Response_15-24,0.003041033039627024
cat__Demographics Response_Rural,0.002977485809441696
cat__Demographics Question_Age,0.0029468746212997776
cat__Demographics Response_Married or living together,0.0028810735671088356
cat__Demographics Response_25-34,0.0024415544499470777
cat__Question_... if she argues with him,0.0023937972880926743
cat__Demographics Response_35-49,0.0023345778907659788
cat__Demographics Question_Residence,0.002293438701049805
cat__Question_... if she goes out without telling him,0.002167403940024672
num__SurveyYear,0.0
