feature,importance
cat__Question_... if she burns the food,0.22858882506235778
cat__Question_... for at least one specific reason,0.16217383599518473
cat__Gender_F,0.13753703271340773
cat__Question_... if she argues with him,0.11479111309927789
cat__Gender_M,0.10988949872603646
cat__Demographics Response_Higher,0.08866010660840842
cat__Demographics Response_Rural,0.02533090447309278
cat__Question_... if she neglects the children,0.016688305903998273
cat__Demographics Response_Employed for kind,0.014440199160651002
cat__Demographics Response_Urban,0.011714698044759827
"cat__Demographics Response_Widowed, divorced, separated",0.007704086705330892
cat__Demographics Question_Education,0.00735050670971335
cat__Demographics Question_Age,0.007133200225513604
cat__Demographics Question_Residence,0.006719898807999107
cat__Demographics Response_Never married,0.0066192521857208935
cat__Demographics Response_Secondary,0.006506022084245401
cat__Demographics Question_Marital status,0.006392240455173286
cat__Demographics Response_No education,0.0059468750862580145
cat__Demographics Response_Primary,0.005906294134252434
cat__Demographics Response_Married or living together,0.00525069441543098
cat__Demographics Response_Unemployed,0.004847499581281101
cat__Question_... if she refuses to have sex with him,0.004036386422527249
cat__Question_... if she goes out without telling him,0.003929569857907863
cat__Demographics Question_Employment,0.0038604185093881085
cat__Demographics Response_15-24,0.002379783587126016
cat__Demographics Response_35-49,0.0023400444153204394
cat__Demographics Response_Employed for cash,0.0018252847737698376
cat__Demographics Response_25-34,0.0014374222558666272
num__SurveyYear,0.0
