Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,SurveyYear_raw,Value_raw,SurveyYear,ok_country,ok_gender,ok_demo_q,ok_demo_r,ok_question,ok_year,ok_value,is_valid_row
Afghanistan,F,Marital status,Never married,... if she burns the food,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,M,Marital status,Never married,... if she burns the food,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,F,Marital status,Never married,... for at least one specific reason,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,F,Marital status,Never married,... if she argues with him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,F,Marital status,Never married,... if she goes out without telling him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,F,Marital status,Never married,... if she neglects the children,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,F,Marital status,Never married,... if she refuses to have sex with him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,M,Marital status,Never married,... for at least one specific reason,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,M,Marital status,Never married,... if she argues with him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,M,Marital status,Never married,... if she goes out without telling him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,M,Marital status,Never married,... if she neglects the children,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Afghanistan,M,Marital status,Never married,... if she refuses to have sex with him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,F,Education,No education,... if she burns the food,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,M,Education,No education,... if she burns the food,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,F,Education,No education,... for at least one specific reason,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,F,Education,No education,... if she argues with him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,F,Education,No education,... if she goes out without telling him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,F,Education,No education,... if she neglects the children,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,F,Education,No education,... if she refuses to have sex with him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,M,Education,No education,... for at least one specific reason,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,M,Education,No education,... if she argues with him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,M,Education,No education,... if she goes out without telling him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,M,Education,No education,... if she neglects the children,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Armenia,M,Education,No education,... if she refuses to have sex with him,01/01/2015,,01/01/2015,,2015,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,No education,... if she burns the food,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,Primary,... if she burns the food,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,No education,... for at least one specific reason,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,Primary,... for at least one specific reason,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,No education,... if she argues with him,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,Primary,... if she argues with him,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,No education,... if she goes out without telling him,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,Primary,... if she goes out without telling him,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,No education,... if she neglects the children,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,Primary,... if she neglects the children,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,No education,... if she refuses to have sex with him,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Azerbaijan,M,Education,Primary,... if she refuses to have sex with him,01/01/2006,,01/01/2006,,2006,True,True,True,True,True,True,False,False
Bangladesh,F,Marital status,Never married,... if she burns the food,01/01/2014,,01/01/2014,,2014,True,True,True,True,True,True,False,False
Bangladesh,M,Age,15-24,... if she burns the food,01/01/2014,,01/01/2014,,2014,True,True,True,True,True,True,False,False
Bangladesh,M,Age,25-34,... if she burns the food,01/01/2014,,01/01/2014,,2014,True,True,True,True,True,True,False,False
Bangladesh,M,Age,35-49,... if she burns the food,01/01/2014,,01/01/2014,,2014,True,True,True,True,True,True,False,False
Bangladesh,M,Education,Higher,... if she burns the food,01/01/2014,,01/01/2014,,2014,True,True,True,True,True,True,False,False
