feature,importance
cat__Question_... if she burns the food,0.2730259765405752
cat__Question_... if she refuses to have sex with him,0.2283915258054922
cat__Gender_F,0.1765641387619291
cat__Gender_M,0.11230591694154819
cat__Question_... if she argues with him,0.056799840270916876
cat__Question_... for at least one specific reason,0.05620400438822384
cat__Question_... if she neglects the children,0.015804214419918625
cat__Demographics Response_Higher,0.014632794455083484
cat__Question_... if she goes out without telling him,0.01389343195043155
cat__Demographics Response_Employed for kind,0.013687305751625129
cat__Demographics Response_Urban,0.009105648794854808
cat__Demographics Response_Employed for cash,0.004707676774908241
cat__Demographics Response_Rural,0.002875845136264435
cat__Demographics Response_No education,0.0027532570610525778
cat__Demographics Question_Employment,0.0025748770253633682
cat__Demographics Response_Never married,0.0024685403258895527
cat__Demographics Question_Residence,0.0024174328899965497
"cat__Demographics Response_Widowed, divorced, separated",0.0018567882834850827
cat__Demographics Response_25-34,0.0017069215228692183
cat__Demographics Question_Education,0.0014022731056287637
cat__Demographics Question_Marital status,0.0012061368933974329
cat__Demographics Response_Married or living together,0.0011016299099476563
cat__Demographics Question_Age,0.0009951841324018183
cat__Demographics Response_Primary,0.0009497407293424055
cat__Demographics Response_Unemployed,0.0008984985762538493
cat__Demographics Response_Secondary,0.0008941693472479103
cat__Demographics Response_35-49,0.00041903558963818626
cat__Demographics Response_15-24,0.00035719461571394616
num__SurveyYear,0.0
