feature,importance
cat__Question_... if she burns the food,0.18854038
cat__Question_... for at least one specific reason,0.13235897
cat__Demographics Response_Higher,0.11626055
cat__Gender_F,0.060189757
"cat__Demographics Response_Widowed, divorced, separated",0.058617882
cat__Question_... if she argues with him,0.052398596
cat__Demographics Response_Rural,0.0480575
cat__Demographics Response_Urban,0.047797944
cat__Demographics Response_Employed for kind,0.032437813
cat__Demographics Question_Marital status,0.029883381
cat__Demographics Response_Secondary,0.029072385
cat__Demographics Response_35-49,0.027259942
cat__Demographics Response_Never married,0.022752976
cat__Demographics Question_Age,0.017762477
cat__Demographics Response_Unemployed,0.017332755
cat__Demographics Response_Primary,0.017247552
cat__Demographics Response_Married or living together,0.015817616
cat__Question_... if she neglects the children,0.01330063
cat__Demographics Question_Education,0.011446308
cat__Demographics Response_No education,0.010968334
cat__Demographics Response_Employed for cash,0.009737993
cat__Demographics Response_25-34,0.009171942
cat__Demographics Question_Employment,0.008236152
cat__Demographics Response_15-24,0.0074434225
cat__Demographics Question_Residence,0.006563103
cat__Question_... if she refuses to have sex with him,0.005014344
cat__Question_... if she goes out without telling him,0.004329297
cat__Gender_M,0.0
num__SurveyYear,0.0
